volume_cm3,surface_area_cm2,aspect_ratio,num_faces,num_edges,num_holes,num_pockets,max_depth_mm,machinability,density,tolerance_factor,is_turning,is_milling,is_drilling,is_grinding,machining_time_min
239.97,163.0,15.892,1598,759,2,2,29.41,1.8,7.85,1.6,1,1,1,1,67.173
129.4,682.69,2.567,1996,2307,9,0,22.0,0.5,1.05,1.6,0,1,1,0,13.729
246.46,626.47,3.246,797,1794,1,6,20.44,5.0,4.5,1.6,1,1,1,1,378.818
205.29,738.0,5.94,825,639,3,0,55.65,0.5,1.05,1.25,1,1,1,1,18.51
146.23,577.28,2.747,2203,1474,14,6,54.2,0.5,1.05,1.25,0,1,1,1,35.045
393.18,700.1,2.354,1641,1695,14,5,58.19,5.0,4.5,1.0,0,1,1,0,321.367
151.23,600.32,13.283,779,199,7,6,29.38,1.8,7.85,1.6,1,1,1,1,131.978
211.67,645.26,2.322,701,2780,6,6,2.22,1.2,8.5,1.0,0,1,1,0,47.316
33.86,131.96,2.36,69,2607,11,5,48.05,1.0,2.7,1.0,0,1,1,0,23.925
124.92,516.42,31.883,694,2057,7,0,24.08,1.8,7.85,1.6,1,1,1,0,46.401
180.54,690.01,2.136,330,882,8,7,11.26,1.8,7.85,1.6,0,1,1,0,161.019
361.64,655.57,6.228,1358,479,1,4,59.85,1.2,8.5,1.6,1,1,1,1,113.918
458.5,422.69,5.388,909,669,8,0,27.2,1.0,2.7,1.25,1,1,1,1,48.308
378.46,455.64,4.616,1423,1030,13,7,31.77,1.2,8.5,1.6,1,1,1,1,134.395
156.7,231.03,3.606,53,907,0,4,47.52,1.2,8.5,1.6,1,1,0,1,38.879
497.4,555.95,2.765,1202,620,2,4,6.11,5.0,4.5,1.6,0,1,1,1,302.019
261.24,374.73,9.649,769,199,0,1,3.93,1.0,2.7,1.6,1,1,0,1,48.483
34.97,133.7,7.726,1150,684,14,2,23.65,1.0,2.7,1.6,1,1,1,0,27.267
432.75,50.92,3.998,1054,1339,8,6,50.47,0.5,1.05,1.25,0,1,1,0,14.332
245.13,562.44,1.921,1232,221,7,3,42.69,5.0,4.5,1.0,0,1,1,0,178.04
33.21,153.65,31.392,2050,171,2,0,37.21,5.0,4.5,1.25,0,1,1,1,25.516
12.32,690.03,6.238,2488,2578,4,2,55.13,1.8,7.85,1.25,1,1,1,1,66.599
187.15,659.87,1.757,776,711,7,3,19.06,1.0,2.7,1.6,0,1,1,0,52.682
179.77,64.28,1.783,788,2236,12,2,53.4,5.0,4.5,1.6,0,1,1,1,210.706
80.42,569.82,1.736,699,91,13,0,59.59,1.8,7.85,1.6,0,1,1,0,92.082
441.39,452.15,20.793,1145,1816,1,2,39.82,1.0,2.7,1.6,1,1,1,0,81.844
123.33,705.42,1.478,1336,1236,11,5,43.55,5.0,4.5,1.6,0,1,1,1,424.307
491.87,364.45,17.426,928,1599,6,3,5.64,0.5,1.05,1.6,1,1,1,0,42.867
83.19,771.16,2.704,2459,2744,3,1,28.19,1.8,7.85,1.0,0,1,1,0,28.974
440.4,334.29,1.95,1358,2366,14,4,6.28,5.0,4.5,1.0,0,1,1,0,152.482
434.13,648.57,2.31,1166,147,3,7,22.63,0.5,1.05,1.6,0,1,1,1,47.879
203.37,289.35,3.907,74,1837,8,7,28.06,1.0,2.7,1.6,0,1,1,0,52.23
74.24,172.15,3.76,1831,791,2,0,45.21,5.0,4.5,1.25,1,1,1,0,49.623
265.79,401.31,6.382,270,2881,3,5,29.73,1.0,2.7,1.0,0,1,1,0,30.685
154.44,623.6,2.39,1554,2948,5,7,4.31,5.0,4.5,1.25,0,1,1,0,325.006
280.92,122.73,4.082,1326,562,1,2,9.62,1.8,7.85,1.0,1,1,1,0,35.912
370.21,272.02,1.853,123,2335,0,1,56.49,1.8,7.85,1.6,0,1,0,0,45.257
59.19,248.4,7.747,200,1393,2,1,42.61,1.0,2.7,1.0,1,1,1,0,12.983
270.12,236.3,3.477,232,2672,0,6,31.06,1.2,8.5,1.0,1,1,0,0,34.71
272.92,375.92,4.224,269,1487,12,7,9.81,0.5,1.05,1.0,1,1,1,0,20.801
134.06,72.54,3.568,2292,1855,1,3,24.03,1.8,7.85,1.6,1,1,1,0,24.332
410.97,606.21,5.074,1720,1076,8,0,20.54,1.2,8.5,1.6,1,1,1,1,81.194
113.86,742.84,34.947,1403,2980,4,2,3.72,1.8,7.85,1.25,1,1,1,0,64.642
319.82,344.7,5.242,1812,1426,4,5,35.98,0.5,1.05,1.6,1,1,1,1,32.19
96.85,558.57,19.349,759,2686,11,5,59.51,1.2,8.5,1.0,1,1,1,0,63.59
158.22,760.65,2.509,2241,1720,2,5,30.54,0.5,1.05,1.6,0,1,1,1,40.473
327.07,306.77,7.534,2076,347,4,5,39.33,1.8,7.85,1.6,1,1,1,0,118.275
106.93,633.61,6.102,471,457,13,2,8.32,5.0,4.5,1.25,0,1,1,1,151.925
109.24,456.56,3.066,1876,824,4,5,19.23,5.0,4.5,1.25,1,1,1,0,186.545
21.38,350.05,5.082,482,2812,12,6,19.33,0.5,1.05,1.25,1,1,1,1,18.571
173.71,233.15,2.882,2343,2936,0,5,45.88,1.0,2.7,1.0,0,1,0,0,17.017
245.5,392.34,2.822,798,832,6,4,24.6,1.8,7.85,1.0,0,1,1,0,56.807
409.87,695.43,7.327,1163,2408,2,6,8.3,5.0,4.5,1.0,1,1,1,0,332.018
201.13,798.96,2.374,1032,1889,13,7,58.85,0.5,1.05,1.6,0,1,1,0,64.582
397.46,252.97,16.79,1791,2510,8,1,25.41,1.8,7.85,1.6,1,1,1,1,128.399
329.82,794.03,21.261,1724,2205,1,7,19.1,1.8,7.85,1.0,1,1,1,0,148.628
35.2,554.2,1.27,2269,2477,14,3,19.29,1.0,2.7,1.6,0,1,1,1,45.455
250.72,719.77,9.35,848,528,4,4,4.05,1.0,2.7,1.0,0,1,1,0,38.962
223.8,630.97,4.029,888,570,0,1,51.65,1.0,2.7,1.0,1,1,0,0,24.753
411.41,119.57,4.014,851,2276,3,4,45.02,5.0,4.5,1.0,1,1,1,0,141.001
117.4,206.28,17.493,876,594,2,1,49.39,0.5,1.05,1.0,1,1,1,0,8.527
77.23,540.15,2.251,2384,2928,14,6,11.54,5.0,4.5,1.6,0,1,1,0,298.987
151.65,601.04,2.051,959,2154,6,0,2.97,1.2,8.5,1.0,0,1,1,0,12.568
137.49,363.99,3.566,436,1205,11,2,31.32,0.5,1.05,1.0,1,1,1,0,14.874
341.56,99.56,6.601,1945,1967,11,1,53.42,0.5,1.05,1.6,1,1,1,1,36.385
39.15,211.38,5.146,116,705,13,0,12.42,1.2,8.5,1.0,1,0,1,0,11.596
431.54,290.3,7.662,888,853,13,4,12.32,1.2,8.5,1.25,1,1,1,1,60.154
62.63,136.49,7.7,2408,2282,1,6,31.56,1.8,7.85,1.0,1,1,1,0,22.964
206.62,292.95,3.181,2316,577,12,7,29.92,1.0,2.7,1.6,1,1,1,1,67.845
204.79,488.56,2.151,2455,381,11,6,35.36,1.2,8.5,1.25,0,1,1,0,66.283
221.44,524.86,6.025,1943,1041,4,3,34.08,1.2,8.5,1.25,1,1,1,1,56.016
167.15,309.3,5.856,1276,2191,14,3,12.87,1.2,8.5,1.6,1,1,1,1,55.643
415.13,745.63,19.567,1658,2840,12,3,55.43,1.0,2.7,1.6,1,1,1,0,118.336
343.41,472.0,5.028,636,1529,3,3,0.33,1.0,2.7,1.0,1,1,1,0,36.706
440.59,329.8,8.299,1115,2342,2,3,32.19,1.2,8.5,1.6,1,1,1,1,87.331
101.93,495.7,17.99,1004,2448,7,3,33.86,5.0,4.5,1.0,1,1,1,0,146.858
218.24,327.49,5.499,591,2526,1,2,18.23,1.8,7.85,1.0,1,1,1,0,44.641
265.02,397.76,6.877,328,1180,11,4,2.41,1.8,7.85,1.6,1,1,1,1,103.302
78.42,191.36,5.31,536,1262,3,6,58.47,1.2,8.5,1.0,0,1,1,0,23.637
436.99,525.68,17.935,550,1641,5,7,57.52,1.2,8.5,1.0,0,1,1,0,63.752
157.86,727.24,5.056,2283,423,4,0,50.08,5.0,4.5,1.25,0,1,1,1,109.797
204.64,383.76,4.412,1988,632,7,2,57.86,1.8,7.85,1.0,0,1,1,0,55.953
356.84,672.51,2.756,1584,450,13,6,32.74,1.2,8.5,1.6,0,1,1,1,124.821
486.18,578.63,3.335,735,1135,2,3,5.39,1.0,2.7,1.0,0,1,1,0,35.797
228.58,748.01,15.143,2157,680,4,7,13.12,0.5,1.05,1.0,1,1,1,0,35.969
488.82,227.27,2.763,413,649,2,4,54.75,1.0,2.7,1.0,0,1,1,0,28.928
316.73,201.4,2.545,1580,2850,1,2,5.43,1.8,7.85,1.25,0,1,1,0,36.531
473.39,333.73,9.931,1560,1016,2,5,40.37,1.2,8.5,1.25,1,1,1,0,88.452
92.75,752.5,3.008,1351,1597,0,4,26.2,1.8,7.85,1.25,1,1,0,1,90.806
216.67,100.12,4.601,1547,228,8,7,28.14,1.0,2.7,1.0,1,1,1,0,26.516
39.56,666.66,3.97,1167,1942,2,6,37.86,1.2,8.5,1.0,1,1,1,0,53.546
339.21,770.44,1.773,954,1556,0,5,27.58,1.2,8.5,1.25,0,1,0,0,62.718
74.27,198.94,1.916,1844,875,8,0,57.36,1.2,8.5,1.25,0,0,1,0,27.948
269.4,712.12,10.164,1890,1124,11,3,8.85,1.2,8.5,1.6,0,1,1,0,68.217
279.62,578.77,2.543,1474,2264,1,6,26.89,0.5,1.05,1.6,0,1,1,1,34.151
186.8,182.27,4.949,2279,2275,2,2,16.37,1.2,8.5,1.0,0,1,1,0,14.186
158.45,326.95,1.413,944,1533,9,5,52.03,1.8,7.85,1.25,0,1,1,1,62.008
445.99,731.46,19.13,1790,126,8,3,29.66,1.8,7.85,1.0,1,1,1,0,123.17
280.56,677.46,2.273,218,2555,11,7,52.37,0.5,1.05,1.6,0,1,1,1,62.284
206.81,251.06,4.555,2486,1706,9,2,10.19,0.5,1.05,1.0,0,1,1,0,7.293
475.15,352.16,10.264,1862,592,3,6,15.88,5.0,4.5,1.0,1,1,1,0,297.881
342.08,660.86,2.318,1426,852,0,3,25.95,1.0,2.7,1.6,0,1,0,0,51.449
388.21,333.74,59.98,1451,1747,5,7,2.32,1.2,8.5,1.6,0,1,1,1,71.55
53.63,346.43,9.385,473,650,8,3,28.77,0.5,1.05,1.0,1,1,1,0,11.274
348.3,787.24,2.037,225,797,14,5,45.27,1.0,2.7,1.6,0,1,1,0,121.262
108.28,189.03,3.02,568,2730,8,6,15.96,1.0,2.7,1.0,0,1,1,0,17.981
76.17,757.85,3.279,1598,1245,3,0,9.72,1.0,2.7,1.6,1,1,1,0,20.733
426.99,686.29,6.672,1376,972,1,4,45.6,1.0,2.7,1.6,0,1,1,1,77.009
366.9,380.92,3.204,163,2475,2,5,17.27,1.8,7.85,1.25,0,1,1,0,70.25
257.59,486.98,1.238,2005,800,11,5,40.68,1.0,2.7,1.6,0,1,1,1,64.951
399.66,770.47,1.992,1011,1107,5,5,28.44,1.8,7.85,1.6,0,1,1,1,151.159
212.06,706.65,2.639,1544,2941,7,7,18.08,0.5,1.05,1.0,0,1,1,0,27.882
175.06,504.77,31.622,1165,722,13,5,33.81,0.5,1.05,1.0,1,1,1,0,24.708
180.66,698.83,4.475,2174,228,5,5,15.46,1.2,8.5,1.6,1,1,1,1,97.837
115.8,448.47,8.22,1048,159,5,7,42.6,0.5,1.05,1.6,1,1,1,1,38.071
243.31,387.15,5.454,2101,2450,0,2,34.72,0.5,1.05,1.25,0,1,0,1,11.452
461.73,299.12,4.669,509,430,5,0,59.39,5.0,4.5,1.0,0,0,1,0,119.07
294.32,630.81,2.662,1127,1604,14,5,26.84,5.0,4.5,1.0,0,1,1,0,277.116
239.15,177.29,11.837,1900,799,11,6,19.81,5.0,4.5,1.25,1,1,1,1,211.691
384.86,280.75,1.377,323,941,14,4,17.39,1.8,7.85,1.6,0,1,1,1,101.276
309.06,517.66,1.988,1420,2073,9,0,26.81,5.0,4.5,1.25,0,1,1,0,144.677
226.07,607.18,1.993,140,2300,14,3,29.95,5.0,4.5,1.0,0,1,1,0,217.944
464.71,418.86,1.973,344,289,6,4,28.9,1.0,2.7,1.25,0,1,1,1,48.997
239.48,771.65,5.246,402,357,8,0,25.92,0.5,1.05,1.6,1,1,1,0,24.283
85.6,755.81,2.467,1018,1953,4,3,45.58,1.0,2.7,1.0,0,1,1,0,28.551
453.84,425.16,2.051,2027,733,10,2,15.03,0.5,1.05,1.0,0,1,1,0,14.787
295.4,795.14,4.058,1818,2591,6,7,12.23,0.5,1.05,1.25,1,1,1,1,49.219
225.51,789.22,3.265,2403,865,0,2,32.84,1.8,7.85,1.25,1,1,0,1,76.958
210.08,611.88,6.259,1103,631,7,6,26.78,1.0,2.7,1.0,0,1,1,0,47.539
281.45,65.87,3.214,2234,883,10,0,3.3,5.0,4.5,1.25,1,0,1,1,124.753
307.22,383.52,7.964,1585,2687,1,0,10.72,1.8,7.85,1.25,1,1,1,0,67.682
333.39,593.61,3.233,1420,956,13,3,21.58,0.5,1.05,1.6,0,1,1,0,34.394
358.59,63.83,1.999,1597,2347,7,6,42.7,5.0,4.5,1.6,0,1,1,0,175.675
305.67,234.17,1.962,447,1288,1,1,49.46,0.5,1.05,1.0,0,1,1,0,7.105
108.66,747.18,6.934,1297,115,13,6,58.21,0.5,1.05,1.25,1,1,1,1,49.443
48.3,687.34,3.866,1613,1749,7,1,44.39,1.0,2.7,1.0,0,1,1,0,25.043
426.0,404.35,3.083,369,2220,0,2,10.49,5.0,4.5,1.0,0,1,0,0,112.705
471.86,600.61,2.896,539,2567,11,1,37.12,1.0,2.7,1.6,0,1,1,1,61.813
349.53,790.48,3.835,2151,1072,4,0,28.52,0.5,1.05,1.0,1,1,1,0,13.956
424.39,440.05,3.588,665,1980,2,0,53.11,5.0,4.5,1.25,1,0,1,0,191.203
33.21,264.95,1.441,1377,1603,4,2,1.92,0.5,1.05,1.0,0,1,1,0,5.159
193.12,538.5,4.858,872,1413,4,3,48.62,5.0,4.5,1.0,1,1,1,0,183.435
300.82,66.37,3.265,1858,372,1,6,56.54,5.0,4.5,1.6,0,1,1,1,117.585
149.56,640.67,1.768,1855,203,5,3,32.82,1.2,8.5,1.25,0,1,1,0,41.53
493.95,62.17,3.694,57,1481,2,7,28.49,1.0,2.7,1.0,0,1,1,0,20.894
256.99,118.03,2.398,2468,2915,14,2,30.27,1.2,8.5,1.25,0,1,1,1,31.22
146.95,691.61,1.517,605,624,10,2,1.86,1.0,2.7,1.0,0,1,1,0,25.621
108.09,560.03,3.199,1290,1117,6,2,43.01,5.0,4.5,1.0,1,1,1,0,125.935
427.79,478.96,3.31,1866,193,8,3,7.44,5.0,4.5,1.0,0,1,1,0,162.211
405.4,752.68,2.309,1728,2978,7,2,9.77,1.2,8.5,1.6,0,1,1,1,65.553
97.18,509.83,7.342,684,195,14,0,14.41,1.2,8.5,1.6,0,0,1,0,24.231
195.52,338.88,8.263,1530,153,3,1,45.4,1.0,2.7,1.0,1,1,1,0,27.018
257.07,448.87,1.355,1846,2545,7,7,26.06,1.0,2.7,1.6,0,1,1,1,74.227
161.15,746.93,3.562,138,352,4,5,2.05,1.8,7.85,1.6,1,1,1,1,156.136
429.86,123.41,11.191,1665,1388,6,2,23.56,1.0,2.7,1.25,1,1,1,1,51.821
447.93,369.48,2.205,1195,831,5,4,9.11,0.5,1.05,1.6,0,1,1,0,23.344
212.57,667.93,1.652,1267,2905,8,6,8.53,1.8,7.85,1.25,0,1,1,1,115.044
410.93,488.12,8.599,915,1726,5,5,3.53,1.8,7.85,1.0,1,1,1,0,112.142
43.09,434.18,6.122,1029,2816,3,7,11.16,5.0,4.5,1.25,1,1,1,1,218.14
226.9,167.22,3.356,820,2627,3,3,55.34,1.0,2.7,1.25,0,1,1,0,18.855
474.27,286.04,2.372,803,634,8,7,15.2,1.8,7.85,1.6,0,1,1,1,111.045
28.99,540.3,7.987,2007,2853,13,5,52.58,1.8,7.85,1.6,0,1,1,0,161.78
273.21,272.65,1.911,1678,1206,2,1,15.71,1.0,2.7,1.25,0,1,1,1,17.591
179.24,450.43,3.822,700,2901,4,4,54.59,0.5,1.05,1.25,1,1,1,0,21.915
352.18,790.03,7.028,123,449,10,6,30.46,0.5,1.05,1.6,1,1,1,1,68.821
310.1,615.93,33.079,292,1704,10,1,51.62,1.8,7.85,1.0,1,1,1,0,94.914
102.17,304.27,15.479,1262,2673,10,6,11.99,1.8,7.85,1.0,0,1,1,0,48.06
357.01,507.89,12.757,228,2207,9,0,0.29,1.2,8.5,1.0,1,1,1,0,42.462
241.1,414.53,2.591,1422,1338,4,4,53.89,1.8,7.85,1.6,0,1,1,1,85.137
198.49,185.53,5.075,297,2311,12,3,55.15,5.0,4.5,1.25,0,1,1,0,210.879
49.34,247.05,11.703,376,1755,6,3,34.83,1.8,7.85,1.25,1,1,1,1,42.901
219.91,567.32,4.362,1650,281,4,1,4.15,1.8,7.85,1.6,1,1,1,0,80.862
42.54,696.91,39.966,2226,244,8,6,14.08,1.0,2.7,1.25,1,1,1,1,57.411
249.56,425.5,10.275,2365,231,4,3,53.18,1.0,2.7,1.25,1,1,1,1,49.75
215.1,324.94,4.163,1755,972,11,2,21.9,1.8,7.85,1.0,0,1,1,0,32.76
305.04,150.34,7.192,1119,519,8,0,2.84,1.2,8.5,1.25,1,1,1,0,45.033
45.21,494.1,46.664,800,1817,2,7,15.46,5.0,4.5,1.0,0,1,1,0,195.437
282.08,497.33,2.389,1005,2432,3,1,33.35,1.8,7.85,1.0,0,1,1,0,37.701
171.59,748.96,4.264,532,1649,13,3,6.44,1.8,7.85,1.25,0,1,1,1,73.036
466.42,142.88,8.156,425,2708,13,5,4.12,5.0,4.5,1.25,1,1,1,1,294.525
415.82,588.76,3.406,516,2874,0,4,39.86,1.0,2.7,1.25,1,1,0,1,51.77
88.59,201.8,2.56,192,223,7,3,34.98,5.0,4.5,1.6,0,1,1,1,130.686
362.91,531.16,3.862,111,1850,11,0,16.39,0.5,1.05,1.25,1,1,1,1,19.649
300.21,216.3,3.283,2403,1806,4,2,26.78,0.5,1.05,1.25,1,1,1,1,15.983
190.43,87.78,1.593,2300,2836,5,4,14.09,1.0,2.7,1.0,0,1,1,0,10.111
175.77,661.8,1.365,1455,403,13,4,57.55,5.0,4.5,1.0,0,1,1,0,283.695
34.96,742.48,4.182,1623,698,11,6,29.92,0.5,1.05,1.25,0,1,1,1,36.801
416.28,257.9,4.686,187,1634,11,5,27.76,1.0,2.7,1.0,1,1,1,0,42.757
57.41,224.55,8.962,2290,1681,14,1,9.79,0.5,1.05,1.25,1,1,1,0,7.96
456.98,163.24,2.932,674,1923,8,4,38.35,5.0,4.5,1.6,0,1,1,1,233.306
479.47,489.2,46.628,2027,1568,4,4,26.22,5.0,4.5,1.25,1,1,1,0,388.839
193.89,777.45,1.8,1397,1666,3,3,38.62,0.5,1.05,1.6,0,1,1,1,29.558
349.46,68.78,12.608,2048,1883,9,5,44.8,1.0,2.7,1.25,1,1,1,1,52.262
30.21,124.96,36.878,1663,1708,9,6,49.61,0.5,1.05,1.0,1,1,1,0,9.925
351.4,694.22,21.2,753,2521,5,0,11.68,5.0,4.5,1.0,0,1,1,0,104.507
91.34,388.32,1.285,1961,1985,12,0,17.72,1.2,8.5,1.0,0,1,1,0,13.58
209.36,756.88,4.326,1329,1413,10,6,1.89,0.5,1.05,1.6,0,1,1,1,38.594
336.37,313.42,4.668,813,2336,1,2,29.66,1.8,7.85,1.25,0,1,1,1,48.611
452.05,708.11,7.205,2256,1747,2,3,33.62,1.2,8.5,1.0,1,1,1,0,76.388
128.24,111.82,2.166,1762,1601,2,3,27.86,5.0,4.5,1.6,0,1,1,0,82.755
107.21,587.47,2.59,698,929,12,7,43.76,5.0,4.5,1.6,0,1,1,1,486.873
424.71,794.82,1.59,214,1402,13,7,23.67,1.0,2.7,1.6,0,1,1,1,131.561
120.63,680.52,4.197,498,1515,8,6,53.71,5.0,4.5,1.6,0,1,1,1,389.845
311.0,385.46,1.918,605,1542,1,3,49.07,5.0,4.5,1.6,0,1,1,1,181.879
402.28,690.24,2.603,1969,2238,5,1,40.28,1.2,8.5,1.25,0,1,1,0,46.133
474.84,335.98,2.676,488,564,12,6,1.93,1.2,8.5,1.6,0,1,1,0,75.487
347.49,449.56,1.552,103,1447,7,7,13.8,5.0,4.5,1.6,0,1,1,0,351.954
486.28,235.44,3.555,2405,741,4,4,59.45,1.8,7.85,1.0,0,1,1,0,52.573
261.02,655.59,5.281,673,2243,12,6,8.2,1.2,8.5,1.6,1,1,1,1,117.905
156.39,466.28,2.382,2008,610,0,4,42.4,1.2,8.5,1.6,0,1,0,1,41.197
423.76,181.23,3.957,483,682,11,1,29.82,1.8,7.85,1.6,0,1,1,0,62.991
420.32,110.59,2.709,1296,2119,7,5,31.51,0.5,1.05,1.25,0,1,1,1,14.534
59.26,286.82,3.987,267,2052,0,6,59.46,1.2,8.5,1.6,0,1,0,1,36.068
33.95,615.57,1.946,298,838,7,1,7.02,1.0,2.7,1.25,0,1,1,0,17.998
182.19,212.48,3.401,1467,2810,6,3,50.15,5.0,4.5,1.0,0,1,1,0,98.426
494.34,684.95,4.273,1358,2064,11,6,59.89,1.2,8.5,1.6,1,1,1,0,184.219
68.32,233.57,4.704,2263,563,0,0,52.39,0.5,1.05,1.6,1,0,0,0,4.844
148.44,497.54,3.968,1703,2063,9,0,57.35,5.0,4.5,1.25,1,1,1,1,177.727
408.13,602.27,1.447,545,2493,11,5,38.59,1.2,8.5,1.25,0,1,1,1,80.538
192.14,84.25,4.654,1908,796,11,1,35.27,1.8,7.85,1.6,0,1,1,0,54.9
194.47,335.18,3.569,1363,2293,4,7,39.65,1.2,8.5,1.6,1,1,1,1,71.065
213.07,443.96,4.721,2095,441,12,3,33.42,1.8,7.85,1.6,1,1,1,0,136.236
234.29,65.2,3.532,342,881,2,3,31.74,1.0,2.7,1.25,0,1,1,0,12.307
279.34,296.81,26.828,1256,2828,5,0,7.61,0.5,1.05,1.6,0,1,1,1,9.682
493.48,116.33,8.004,1428,1306,1,3,55.87,0.5,1.05,1.25,0,1,1,1,12.996
327.9,775.93,4.425,1550,2136,13,1,32.0,1.0,2.7,1.0,1,1,1,0,51.631
85.94,233.09,20.827,1956,2998,8,0,9.66,5.0,4.5,1.0,1,0,1,0,50.455
